t,power,slowness,back_azi
2020-01-01T01:30:47.875000Z,3124423.381982476,0.12,114.0
2020-01-01T01:30:47.885000Z,3223452.4235318573,0.12,114.0
2020-01-01T01:30:47.895000Z,3315403.7549742507,0.12,114.0
2020-01-01T01:30:47.905000Z,3181066.1171377585,0.12,114.0
2020-01-01T01:30:47.915000Z,3387312.0579245947,0.12,114.0
2020-01-01T01:30:47.925000Z,3113859.593270181,0.12,117.0
2020-01-01T01:30:47.935000Z,2258265.640688463,0.12,120.0
2020-01-01T01:30:47.945000Z,1983197.5215668133,0.12,123.0
2020-01-01T01:30:47.955000Z,1900977.2109557327,0.12,120.0
2020-01-01T01:30:47.965000Z,2040467.544030045,0.12,117.0
2020-01-01T01:30:47.975000Z,1876260.850697818,0.12,114.0
2020-01-01T01:30:47.985000Z,1041920.7160933514,0.08,117.0
2020-01-01T01:30:47.995000Z,808078.9107624984,0.32,156.0
2020-01-01T01:30:48.005000Z,726784.1714056778,0.12,117.0
2020-01-01T01:30:48.015000Z,653652.5801280753,0.32,159.0
2020-01-01T01:30:48.025000Z,882404.5938283222,0.16,195.0
2020-01-01T01:30:48.035000Z,1148245.2085587666,0.2,192.0
2020-01-01T01:30:48.045000Z,1021740.4339294158,0.2,192.0
2020-01-01T01:30:48.055000Z,987268.5727429012,0.2,192.0
2020-01-01T01:30:48.065000Z,958865.4612693377,0.2,192.0
2020-01-01T01:30:48.075000Z,1013306.2694555293,0.2,189.0
2020-01-01T01:30:48.085000Z,973072.7351713822,0.16,189.0
2020-01-01T01:30:48.095000Z,1021535.8953116562,0.16,186.0
2020-01-01T01:30:48.105000Z,1070489.6835261849,0.32,255.0
2020-01-01T01:30:48.115000Z,1236965.4277027922,0.32,255.0
2020-01-01T01:30:48.125000Z,1190188.0803970927,0.32,255.0
2020-01-01T01:30:48.135000Z,1056342.6458001102,0.32,252.0
2020-01-01T01:30:48.145000Z,994606.8622121951,0.32,252.0
2020-01-01T01:30:48.155000Z,1093584.803462603,0.64,0.0
2020-01-01T01:30:48.165000Z,1050008.3042573105,0.32,246.0
2020-01-01T01:30:48.175000Z,1071778.6436296697,0.32,246.0
2020-01-01T01:30:48.185000Z,1227517.2199444037,0.68,120.0
2020-01-01T01:30:48.195000Z,1513200.89165191,0.24,213.0
2020-01-01T01:30:48.205000Z,1651734.9049451773,0.24,213.0
2020-01-01T01:30:48.215000Z,1664108.0447154643,0.24,216.0
2020-01-01T01:30:48.225000Z,1724820.6374631186,0.44,288.0
2020-01-01T01:30:48.235000Z,3473238.936904223,0.28,177.0
2020-01-01T01:30:48.245000Z,6198114.7245124625,0.32,174.0
2020-01-01T01:30:48.255000Z,6805931.615689335,0.32,177.0
2020-01-01T01:30:48.265000Z,7357923.425494006,0.32,177.0
2020-01-01T01:30:48.275000Z,7442255.938034886,0.32,177.0
2020-01-01T01:30:48.285000Z,8003422.631814461,0.32,177.0
2020-01-01T01:30:48.295000Z,8043650.399587039,0.32,177.0
2020-01-01T01:30:48.305000Z,7596952.292715179,0.32,177.0
2020-01-01T01:30:48.315000Z,7982800.877479762,0.32,177.0
2020-01-01T01:30:48.325000Z,8673685.999999164,0.32,177.0
2020-01-01T01:30:48.335000Z,8647560.18449716,0.32,177.0
2020-01-01T01:30:48.345000Z,8794788.652000973,0.32,177.0
2020-01-01T01:30:48.355000Z,8925365.4552194,0.32,177.0
2020-01-01T01:30:48.365000Z,8762581.341361396,0.32,177.0
2020-01-01T01:30:48.375000Z,8339900.238245581,0.32,177.0
2020-01-01T01:30:48.385000Z,8343324.822364042,0.32,177.0
2020-01-01T01:30:48.395000Z,8625109.950245101,0.32,177.0
2020-01-01T01:30:48.405000Z,8529562.442850336,0.32,177.0
2020-01-01T01:30:48.415000Z,7753231.940664771,0.32,177.0
2020-01-01T01:30:48.425000Z,5872910.825713037,0.32,177.0
2020-01-01T01:30:48.435000Z,4694924.979396759,0.24,246.0
2020-01-01T01:30:48.445000Z,3587948.697272079,0.24,249.0
2020-01-01T01:30:48.455000Z,2946600.3411718635,0.28,201.0
2020-01-01T01:30:48.465000Z,2498512.2453654786,0.28,201.0
2020-01-01T01:30:48.475000Z,1767064.368067388,0.28,201.0
2020-01-01T01:30:48.485000Z,1198639.401639703,0.56,207.0
2020-01-01T01:30:48.495000Z,969299.5537359156,0.56,210.0
2020-01-01T01:30:48.505000Z,974334.9668089047,0.52,177.0
2020-01-01T01:30:48.515000Z,1026284.8202275833,0.08,105.0
2020-01-01T01:30:48.525000Z,1019911.9069030876,0.08,105.0
2020-01-01T01:30:48.535000Z,901210.112782739,0.56,180.0
2020-01-01T01:30:48.545000Z,883398.7539949574,0.56,180.0
2020-01-01T01:30:48.555000Z,768381.0644017468,0.56,180.0
2020-01-01T01:30:48.565000Z,775279.8212392825,0.08,90.0
2020-01-01T01:30:48.575000Z,804100.5897624592,0.4,228.0
2020-01-01T01:30:48.585000Z,936997.1513212506,0.4,228.0
2020-01-01T01:30:48.595000Z,909861.292510526,0.4,228.0
2020-01-01T01:30:48.605000Z,696474.3956580674,0.4,228.0
2020-01-01T01:30:48.615000Z,684757.0268734378,0.6,186.0
2020-01-01T01:30:48.625000Z,563084.1941727579,1.0,180.0
2020-01-01T01:30:48.635000Z,635598.1848501101,0.4,231.0
2020-01-01T01:30:48.645000Z,792605.8924409287,0.48,183.0
2020-01-01T01:30:48.655000Z,944750.8142611572,0.48,183.0
2020-01-01T01:30:48.665000Z,989048.8296257334,0.48,183.0
2020-01-01T01:30:48.675000Z,1136763.2095616062,0.48,183.0
2020-01-01T01:30:48.685000Z,1048648.4865017508,0.48,183.0
2020-01-01T01:30:48.695000Z,831764.1409230595,0.48,183.0
2020-01-01T01:30:48.705000Z,772018.9536119472,0.4,228.0
2020-01-01T01:30:48.715000Z,730497.7321955159,0.32,99.0
2020-01-01T01:30:48.725000Z,769492.4066623991,0.48,30.0
2020-01-01T01:30:48.735000Z,732204.1881353562,0.32,99.0
2020-01-01T01:30:48.745000Z,863291.1820707422,0.32,99.0
2020-01-01T01:30:48.755000Z,939266.6694671736,0.32,99.0
2020-01-01T01:30:48.765000Z,768465.4544114692,0.32,96.0
2020-01-01T01:30:48.775000Z,787025.048784605,0.32,96.0
2020-01-01T01:30:48.785000Z,1041383.7237198709,0.36,75.0
2020-01-01T01:30:48.795000Z,1080047.9757003903,0.36,75.0
2020-01-01T01:30:48.805000Z,1009909.1544201797,0.36,75.0
2020-01-01T01:30:48.815000Z,955724.4654536701,0.68,84.0
2020-01-01T01:30:48.825000Z,905420.9837472646,0.68,84.0
2020-01-01T01:30:48.835000Z,970207.7670790849,0.48,69.0
2020-01-01T01:30:48.845000Z,926436.395203653,0.44,69.0
2020-01-01T01:30:48.855000Z,767979.8260791758,0.52,33.0
2020-01-01T01:30:48.865000Z,590553.5892179318,0.48,69.0
2020-01-01T01:30:48.875000Z,610646.3356959102,0.2,111.0
2020-01-01T01:30:48.885000Z,718332.5432180235,0.2,108.0
2020-01-01T01:30:48.895000Z,644075.3196435438,0.2,108.0
2020-01-01T01:30:48.905000Z,782588.3632855315,0.2,180.0
2020-01-01T01:30:48.915000Z,1023339.0824858054,0.2,180.0
2020-01-01T01:30:48.925000Z,2333089.8161116466,0.36,294.0
2020-01-01T01:30:48.935000Z,9483316.14312172,0.36,297.0
2020-01-01T01:30:48.945000Z,12873814.750464896,0.36,297.0
2020-01-01T01:30:48.955000Z,13423862.987662857,0.36,297.0
2020-01-01T01:30:48.965000Z,13625713.42234998,0.36,297.0
2020-01-01T01:30:48.975000Z,13543536.564399168,0.36,297.0
2020-01-01T01:30:48.985000Z,13458614.447617583,0.36,297.0
2020-01-01T01:30:48.995000Z,14390116.169457817,0.36,297.0
2020-01-01T01:30:49.005000Z,14686639.959996272,0.36,297.0
2020-01-01T01:30:49.015000Z,14696320.568403,0.36,297.0
2020-01-01T01:30:49.025000Z,14519575.854831273,0.36,297.0
2020-01-01T01:30:49.035000Z,14590761.157681279,0.36,297.0
2020-01-01T01:30:49.045000Z,14954962.021678688,0.36,297.0
2020-01-01T01:30:49.055000Z,14559436.313724365,0.36,297.0
2020-01-01T01:30:49.065000Z,14439304.34215743,0.36,297.0
2020-01-01T01:30:49.075000Z,14262817.195681062,0.36,297.0
2020-01-01T01:30:49.085000Z,14358942.01828244,0.36,297.0
2020-01-01T01:30:49.095000Z,14160405.87167694,0.36,297.0
2020-01-01T01:30:49.105000Z,13526316.867626667,0.36,297.0
2020-01-01T01:30:49.115000Z,10434765.238535145,0.32,297.0
2020-01-01T01:30:49.125000Z,9159427.9036221,0.16,255.0
2020-01-01T01:30:49.135000Z,8486428.905987883,0.16,252.0
2020-01-01T01:30:49.145000Z,7738158.815763847,0.16,249.0
2020-01-01T01:30:49.155000Z,7806732.557427039,0.16,249.0
2020-01-01T01:30:49.165000Z,8221351.5189945055,0.16,252.0
2020-01-01T01:30:49.175000Z,8851650.098763395,0.16,252.0
2020-01-01T01:30:49.185000Z,8618946.752280844,0.16,252.0
2020-01-01T01:30:49.195000Z,8455022.959638199,0.16,252.0
2020-01-01T01:30:49.205000Z,8520439.987886248,0.16,252.0
2020-01-01T01:30:49.215000Z,7884778.475977772,0.16,255.0
2020-01-01T01:30:49.225000Z,5581740.165426614,0.16,258.0
2020-01-01T01:30:49.235000Z,5107486.698437632,0.16,258.0
2020-01-01T01:30:49.245000Z,2584880.6140190586,0.12,261.0
2020-01-01T01:30:49.255000Z,803280.5079319451,0.04,48.0
2020-01-01T01:30:49.265000Z,758309.0964971848,0.12,132.0
2020-01-01T01:30:49.275000Z,775368.9820197247,0.48,279.0
2020-01-01T01:30:49.285000Z,889013.9788913709,0.48,279.0
2020-01-01T01:30:49.295000Z,1256182.2621890847,0.24,81.0
2020-01-01T01:30:49.305000Z,6111076.800785408,0.2,246.0
2020-01-01T01:30:49.315000Z,33331730.767686024,0.24,246.0
2020-01-01T01:30:49.325000Z,61102346.65468356,0.24,243.0
2020-01-01T01:30:49.335000Z,79312001.90261203,0.24,246.0
2020-01-01T01:30:49.345000Z,90262948.04030466,0.24,246.0
2020-01-01T01:30:49.355000Z,93753598.99808465,0.24,246.0
2020-01-01T01:30:49.365000Z,97695587.70929597,0.24,246.0
2020-01-01T01:30:49.375000Z,102228405.93111068,0.24,243.0
2020-01-01T01:30:49.385000Z,106519015.14453149,0.24,243.0
2020-01-01T01:30:49.395000Z,108429936.33532514,0.24,246.0
2020-01-01T01:30:49.405000Z,110427589.95457347,0.24,246.0
2020-01-01T01:30:49.415000Z,112686352.84242901,0.24,246.0
2020-01-01T01:30:49.425000Z,114403816.7714115,0.24,246.0
2020-01-01T01:30:49.435000Z,116874757.0819577,0.24,243.0
2020-01-01T01:30:49.445000Z,117640518.14166844,0.24,246.0
2020-01-01T01:30:49.455000Z,120294840.4719505,0.24,246.0
2020-01-01T01:30:49.465000Z,120644035.80438921,0.24,246.0
2020-01-01T01:30:49.475000Z,120390602.46726735,0.24,246.0
2020-01-01T01:30:49.485000Z,121036039.96588339,0.24,246.0
2020-01-01T01:30:49.495000Z,119770765.92175183,0.24,243.0
2020-01-01T01:30:49.505000Z,100776485.89855161,0.2,246.0
2020-01-01T01:30:49.515000Z,60855973.60438424,0.2,246.0
2020-01-01T01:30:49.525000Z,37806112.70842738,0.16,240.0
2020-01-01T01:30:49.535000Z,18030657.417116135,0.16,240.0
2020-01-01T01:30:49.545000Z,11240803.08689774,0.2,234.0
2020-01-01T01:30:49.555000Z,9087696.97543378,0.12,246.0
2020-01-01T01:30:49.565000Z,6220343.093454108,0.12,243.0
2020-01-01T01:30:49.575000Z,2986287.3351447987,0.2,222.0
2020-01-01T01:30:49.585000Z,1913454.2500677626,0.2,222.0
2020-01-01T01:30:49.595000Z,1378635.886465751,0.12,249.0
2020-01-01T01:30:49.605000Z,1303424.5155407959,0.12,252.0
2020-01-01T01:30:49.615000Z,1561910.0582489097,0.24,189.0
2020-01-01T01:30:49.625000Z,1645520.7205590429,0.28,198.0
2020-01-01T01:30:49.635000Z,1517354.2555789321,0.28,198.0
2020-01-01T01:30:49.645000Z,1517400.0088723577,0.24,186.0
2020-01-01T01:30:49.655000Z,1494173.4412367987,0.24,189.0
2020-01-01T01:30:49.665000Z,1667177.7118557252,0.24,186.0
2020-01-01T01:30:49.675000Z,1781294.0496503678,0.28,177.0
2020-01-01T01:30:49.685000Z,2677558.914840794,0.32,162.0
2020-01-01T01:30:49.695000Z,4304936.379947792,0.32,162.0
2020-01-01T01:30:49.705000Z,4643939.331002494,0.36,162.0
2020-01-01T01:30:49.715000Z,4792976.187280167,0.36,162.0
2020-01-01T01:30:49.725000Z,5038323.333610713,0.36,162.0
2020-01-01T01:30:49.735000Z,5105751.268186699,0.36,162.0
2020-01-01T01:30:49.745000Z,5015583.146572133,0.36,162.0
2020-01-01T01:30:49.755000Z,5166842.0331905205,0.36,162.0
2020-01-01T01:30:49.765000Z,5244228.034213477,0.36,162.0
2020-01-01T01:30:49.775000Z,5485029.721538994,0.36,159.0
2020-01-01T01:30:49.785000Z,5857823.94629632,0.36,159.0
2020-01-01T01:30:49.795000Z,6848055.405549162,0.36,159.0
2020-01-01T01:30:49.805000Z,7638390.071581211,0.32,159.0
2020-01-01T01:30:49.815000Z,9042241.715479486,0.32,159.0
2020-01-01T01:30:49.825000Z,10932798.49328545,0.32,162.0
2020-01-01T01:30:49.835000Z,11900855.527156452,0.36,159.0
2020-01-01T01:30:49.845000Z,12085061.117090205,0.36,159.0
2020-01-01T01:30:49.855000Z,11852892.39529501,0.36,159.0
2020-01-01T01:30:49.865000Z,11050051.017574418,0.36,159.0
2020-01-01T01:30:49.875000Z,9686593.425708104,0.32,159.0
2020-01-01T01:30:49.885000Z,7153942.502328923,0.32,159.0
2020-01-01T01:30:49.895000Z,5000751.455396161,0.32,159.0
2020-01-01T01:30:49.905000Z,4170836.0332176466,0.32,159.0
2020-01-01T01:30:49.915000Z,3630839.8459216724,0.32,159.0
2020-01-01T01:30:49.925000Z,3256712.3727822467,0.32,159.0
2020-01-01T01:30:49.935000Z,3063307.0198823726,0.32,162.0
2020-01-01T01:30:49.945000Z,3169684.18288829,0.32,162.0
2020-01-01T01:30:49.955000Z,3079243.1168731907,0.32,165.0
2020-01-01T01:30:49.965000Z,3258712.3501384337,0.32,165.0
2020-01-01T01:30:49.975000Z,3392498.6378326346,0.32,165.0
2020-01-01T01:30:49.985000Z,3127777.1547269155,0.32,165.0
2020-01-01T01:30:49.995000Z,2874234.484282434,0.36,165.0
2020-01-01T01:30:50.005000Z,2651775.611811956,0.36,165.0
2020-01-01T01:30:50.015000Z,1854145.509556201,0.36,165.0
2020-01-01T01:30:50.025000Z,1013324.3988244942,0.28,300.0
